Besuge besuge, hYXmufwdMeE
Shubhamangala Sumuhorthave, p4MHEi6_rpI
Hoovondu balibandu, zktS22U4nwQ
Ee Shatamanada maadari hennu, vUKSuU2eZjw
Sooryangu chandrangu, f3vfrCf6jEI
Uttara druvadim ,              4m3XzqkBwkM
Bharatha bhooshira  ,        eLX2-XI99bw
Kodagina cauvery ,              cE8m8JLXbDk
Snehada kadallalli, xWQSo_gkzbc
Aa devare nudida modala nudi,               EDSgog1A2JE
Beligiri rangayya ,           yw_9AVxENNY
Yelle iru heege iru,             IHBy9tWvNtU
Adisi noodu beelisi noodu,       8NJ-EY2GhIA
Adisidaata besara moodi ,        nszeqsxnK_g
Adona neenu naanu  ,             8zl_eWFidnw
Nee bandu nintaga ,              VkW49fZvj2Q
Karedaru kelade  ,                  lb1VQNn3bAQ
Raaga anuraga    ,                 Sz6YDjEOA74
Ninagaagi ododi bande,              m3aZc7bPn2c
Naane thaayi naane thande,          NgIvInwZAX4
Idu nanna ninna prema geethe,                 6HOoH-Y10xY
Moosagaarana                 ,                Fd2qvzrqV7k
Geleyare nanna gelatiyare     ,               -FbDvI-Efdc
Hey gangu ee biku kalisikodu   ,              jGBCHtdqp5s
Nooru janmaku,           pFt58gtRgiM
Banalli odo megha,       RaIjcN9kn58
Hegide nam desha  ,      ztsevVG2W70
Yaava mohana murali,     iaNgco2oRUs
America america     ,    7TXXI7v7icw
Ararre entha gandige          ,wykx9Zx0ZBI
Hoogu yennalu nee yaaru       ,5pXoMFUjNyc
Benkiyalli aralida hoo nanalla,72n0d8Ao9IU
Premada geethe haaduva kaala  ,HEXj9clsXiA
He deepaveke beku             ,YzGOy1WNbYM
Premavide manade              ,j-DesA9ErPU
Naanu yaru yavaa oru          ,Uy6L5mj8CsU
Ninna aata noodo aase         ,gsy9hGqouls
Mayuri natya mayuri         ,   DyANV5wq2mQ
Parvati parashivana          ,  YpMy0NB32C0
Banna nanna olavina banna     , NQr05AKuFug
Ee bandana                  ,   TScTCwria-k
Noorondu nenapu             ,   lJgrLFDr5vE
Premada kadambari           ,   UJLPaTAgQVQ
Banna nanna olavina banna   ,   NQr05AKuFug
Ee bandana                  ,   TScTCwria-k
Noorondu nenapu             ,   lJgrLFDr5vE
Premada kadambari           ,   UJLPaTAgQVQ
